"slug","city_name_ru","hotel_name","image_url","star_rating","region_id","tripadvisor_rating","max_tripadvisor_rating","facilities","price"
"gostevoj_dom_elena_2","Анапа","Гостевой Дом Elena","https://cdn.ostrovok.ru/t/orig/extranet/ae/6d/ae6d4a911a1d8a93d8beb33269966e210533b368.jpeg",,258,0,5,"",2276.51
"_0x2dee2","Анапа","Morskie Rify Pansionat","https://cdn.ostrovok.ru/t/orig/second/18/8d/188dd32691b0a6f86a642890edde0b25c6dc504e.jpeg",,258,0,5,"",1790.23
"otel_leto_3","Анапа","Отель Лето","https://cdn.ostrovok.ru/t/orig/second/93/9f/939f542a866d0e865fd4613a3148b8ddae1908f1.jpeg",,258,0,5,"",2782.00
"guest_house_on_kirova_78","Анапа","Guest House on Kirova 78","https://cdn.ostrovok.ru/t/orig/second/31/b8/31b8ff6b971c3f563c2889c3fc690e5f31203007.jpeg",,258,0,5,"",2276.51
"na_sadovoy_guesthouse","Анапа","Na Sadovoy Guesthouse","https://cdn.ostrovok.ru/t/orig/second/5b/90/5b90bb95376ec6ee132cad2eeec021bdf25e66f4.jpeg",,258,0,5,"",2276.51
"slavyanka_hotel_","Анапа","Отель Славянка","https://cdn.ostrovok.ru/t/orig/extranet/fc/2b/fc2bc659b3746fe280155d3c371827acf3925f90.jpeg",,258,4,5,"",3380.12
"pansionat_solnechniy","Анапа","Пансионат Солнечный","https://cdn.ostrovok.ru/t/orig/extranet/3d/54/3d545296d4770d5194d6b17cbbce750a477d019b.jpeg",,258,4.5,5,"",3313.50
"atelica_oasis_hotel","Анапа","Курортный отель Ателика Оазис","https://cdn.ostrovok.ru/t/orig/second2/1389620706/46caf580d62971cac9237c881ace71c9.jpg",,258,0,5,"",1790.23
"agatiya_guest_house","Анапа","Agatiya Guest House","https://cdn.ostrovok.ru/t/orig/second/ab/aa/abaa45c1bf985c94bf2660a98482c671cf0ea6eb.jpeg",,258,0,5,"",2276.51
"bumerang_hotel","Анапа","Отель Бумеранг","https://cdn.ostrovok.ru/t/orig/extranet/media/9a006986d92d4eeead02cc9554359c1a.jpg",,258,4.5,5,"",2432.30
"gostevoj_dom_petrov","Анапа","Гостевой дом ПетровЪ","https://cdn.ostrovok.ru/t/orig/second/24/78/2478e16ff0de692399c417828a5880524c6532d2.jpeg",,258,5,5,"",2276.51
"guest_house_on_turgeneva_172a","Анапа","Guest House on Turgeneva 172a","https://cdn.ostrovok.ru/t/orig/second/88/12/88124a2fa231d21676aa487e38e71d2d97dfa14e.jpeg",,258,0,5,"",2276.51
"duet_hotel_","Анапа","Отель Дуэт","https://cdn.ostrovok.ru/t/orig/extranet/84/57/8457e506097c481b921341dbfbe2d7ec9f0b57b5.jpeg",,258,2.5,5,"",1400.00
"otel_mistralanapa","Анапа","Отель Мистраль-Анапа","https://cdn.ostrovok.ru/t/orig/second/f5/cb/f5cb2331b63460e7a7faa203993a5c2b4f80b664.jpeg",,258,0,5,"",2276.51
"voskhod_3","Анапа","Гостевой дом Восход","https://cdn.ostrovok.ru/t/orig/extranet/f9/e0/f9e082297f1e180c5f069f7e10c30f26f7cee1a2.jpeg",,258,5,5,"",2276.51
"guest_house_domashniy_dvorik","Анапа","Guest house Domashniy dvorik","https://cdn.ostrovok.ru/t/orig/carsolize/fe/d6/fed603717ea69917ee03ee4f0bb4d136a5eb83b1.jpeg",,258,0,5,"",2276.51
"viva_3","Анапа","Viva","https://cdn.ostrovok.ru/t/orig/second/c8/45/c845429e164d7bb731602b33872ce192e383432e.jpeg",,258,0,5,"",2782.00
"_0x4099d","Анапа","Guest House ARDI","https://cdn.ostrovok.ru/t/orig/second/a9/73/a97352122838e3996a5e4c170086fe064842a984.jpeg",,258,4,5,"",2276.51
"wave_holiday_home","Анапа","Wave Holiday Home","https://cdn.ostrovok.ru/t/orig/second/ed/5a/ed5a68b08292b9a4ab3ba3154391c9151d645b5d.jpeg",,258,0,5,"",5750.00
"guest_house_idilly","Анапа","Guest House Idilly","https://cdn.ostrovok.ru/t/orig/second/0f/1e/0f1e74f4c5536dd43b7d9d4fcaf2f3319a138631.jpeg",,258,0,5,"",2276.51
"1_komn_v_sochi_imeretinskij_kurort","Адлер","Апартаменты в Сочи - Имеретинский курорт","https://cdn.ostrovok.ru/t/orig/extranet/c3/d1/c3d1ee3f21acd3379b92077d5b22d8d74300b141.jpeg",,299,0,5,"Парковка,Бассейн",3271.28
"sofiya_guest_house_5","Адлер","Гостевой Дом София","https://cdn.ostrovok.ru/t/orig/extranet/a0/95/a095073bfe26b5436bc350fd14cf4d255295bd1f.jpeg",,299,0,5,"",2610.00
"gostevoi_dom_martlen","Адлер","Гостевой Дом Мартлен","https://cdn.ostrovok.ru/t/orig/second/f0/4c/f04c11fcc2fd78b4866788b3c61ecf62f79303e9.jpeg",,299,0,5,"Бесплатный интернет,Трансфер",2047.51
"ivettis","Адлер","Мини-Отель Иветтис","https://cdn.ostrovok.ru/t/orig/extranet/4a/95/4a95edb2fb58a5dcdf19b8f7cbe306f0f66faf2e.jpeg",,299,0,5,"Бесплатный интернет,Трансфер",2150.30
"studiya_u_morya_apartments","Адлер","Апартаменты Студия у Моря","https://cdn.ostrovok.ru/t/orig/extranet/62/bf/62bf3b709e656108c657e35ca97005f5c1e8e12d.jpeg",,299,0,5,"Трансфер",3271.28
"svetlyij_v_tsentre_adlera_apartments","Адлер","Апартаменты Светлый в центре Адлера","https://cdn.ostrovok.ru/t/orig/extranet/56/d2/56d2931666b2fbeff50a33c859ed256a09090370.jpeg",,299,0,5,"",1347.14
"otel_arli","Адлер","Отель Арли","https://cdn.ostrovok.ru/t/orig/extranet/b2/4b/b24bed6a03df728ce807ab035e1edac8f6467959.jpeg",,299,4,5,"",2760.08
"sati_guest_house","Адлер","Гостевой Дом Сати","https://cdn.ostrovok.ru/t/orig/extranet/54/03/540361708f289af5e0f2e89e77feb81de4362130.jpeg",,299,0,5,"Парковка,Трансфер",2047.51
"radisson_blu_paradise_resort__spa_sochi","Адлер","Radisson Blu Paradise & Spa Resort Sochi","https://cdn.ostrovok.ru/t/orig/extranet/media/8bf3fd3a3beb4c488523d898e9f79d58.jpg",5,299,4.5,5,"",10969.40
"elizaveta_3","Адлер","Отель Елизавета","https://cdn.ostrovok.ru/t/orig/extranet/75/f9/75f900845c6ec97ce80fc52f70a93b852e201f82.jpeg",,299,0,5,"",2400.00
"oranzhevoye_nebo_guest_house_","Адлер","Гостевой дом Оранжевое небо","https://cdn.ostrovok.ru/t/orig/second/1a/97/1a972641928182df1026af1e4b0e9af3701cec40.jpeg",,299,4,5,"",1700.00
"aparthotel_feniks_de_lyuks_morskoj_75","Адлер","Апарт-Отель Феникс Де Люкс Морской 75","https://cdn.ostrovok.ru/t/orig/extranet/c7/32/c732d20e4291dd420975af583d78a8f283a7df1a.jpeg",,299,0,5,"",6222.00
"miniotel_bliss_khaus","Адлер","Мини-отель Блисс Хаус","https://cdn.ostrovok.ru/t/orig/extranet/media/e42ebae5f6c14c62aa9a9d9ff139ae14.jpg",,299,4.5,5,"",2099.99
"gostevoj_dom_19","Адлер","Гостевой Дом В гостях у Жанны","https://cdn.ostrovok.ru/t/orig/extranet/b3/b5/b3b53b6145eb89bc7e92d56bd145795375bb9093.jpeg",,299,0,5,"Бесплатный интернет,Трансфер",2047.51
"gostinitsa_2","Адлер","Гостевой Дом на Просвещения","https://cdn.ostrovok.ru/t/orig/extranet/f7/53/f753c24c56ac20162d6dfe869abea2481507e2b5.jpeg",,299,0,5,"Бесплатный интернет,Парковка,Трансфер",2047.51
"shtil_hotel_","Адлер","Отель Штиль","https://cdn.ostrovok.ru/t/orig/extranet/media/61bfa79c5174499d83cd4caf423afc54.jpg",3,299,4,5,"",2200.00
"sofiya_4","Адлер","Гостевой Дом София","https://cdn.ostrovok.ru/t/orig/extranet/b1/bd/b1bd302acfd89d8c94edc96fa88cfbd67e44b25e.jpeg",,299,0,5,"",1126.36
"history_2","Адлер","Гостевой Дом History","https://cdn.ostrovok.ru/t/orig/extranet/e3/39/e339c4eda89fb172c8a4beee688348ff67e50102.jpeg",,299,0,5,"Бесплатный интернет,Парковка,Трансфер",1500.00
"adler_olimpijskij","Адлер","Гостевой Дом Адлер Олимпийский","https://cdn.ostrovok.ru/t/orig/extranet/76/fb/76fb462dffc8905a1863837e579cc503ed32b64a.jpeg",,299,0,5,"Бесплатный интернет,Трансфер",8000.00
"weiler_hotel","Адлер","Отель Вэйлер","https://cdn.ostrovok.ru/t/orig/extranet/media/07b1670857564bad829315cfd113b6fb.jpg",,299,5,5,"",2497.48
"vondelpark_apartment_suites","Амстердам","Vondelpark Apartment Suites","https://cdn.ostrovok.ru/t/orig/second/f0/cf/f0cf87cf50cdb0c8ad00cb12be128e594ae0b70c.jpeg",,378,4,5,"",14113.50
"hotel_la_boheme","Амстердам","La Boheme","https://cdn.ostrovok.ru/t/orig/second2/1389638021/32fb5411790750064b750b58e9485464.jpg",,378,4.5,5,"",12093.09
"warmoes_chillout_2","Амстердам","Warmoes Chillout 2","https://cdn.ostrovok.ru/t/orig/carsolize/ee/ca/eeca5184a3b414a3fd509eca28b7c60659f741db.jpeg",,378,4.5,5,"",8127.61
"meininger_hotel_amsterdam_city_west","Амстердам","MEININGER Hotel Amsterdam City West","https://cdn.ostrovok.ru/t/orig/mec/3d/93/3d93af935fbb912ff76195fb62321eafc9dc49a7.jpeg",,378,4,5,"",9410.24
"waldorf_astoria_amsterdam","Амстердам","Waldorf Astoria Amsterdam","https://cdn.ostrovok.ru/t/orig/laterooms/hotelphotos/laterooms/285504/gallery/waldorf-astoria-amsterdam-amsterdam_260220141241015040.jpg",,378,5,5,"",46471.04
"ndsm_serviced_apartments","Амстердам","NDSM Serviced Apartments","https://cdn.ostrovok.ru/t/orig/second/e6/03/e60372e97b81c69dceea1b60e10bce00c492cf1f.jpeg",,378,0,5,"",19112.23
